acc,model,step
0.5609701196632499,base,10000
0.6091385394390364,base,20000
0.6275518996699283,base,30000
0.6398969862027868,base,40000
0.6478683958743316,base,50000
0.6507435297139738,base,60000
0.6581589499347991,base,70000
0.6619130931336358,base,80000
0.6642830271066015,base,90000
0.669152746062466,base,100000
0.6708095680184227,base,110000
0.6731917227847208,base,120000
0.6771562602247251,base,130000
0.6777711229006333,base,140000
0.6799218657188671,base,150000
0.6814688202945061,base,160000
0.6827056976569272,base,170000
0.6847216150600248,base,180000
0.6845858424451677,base,190000
0.6887051507810157,base,220000
0.5339132562491407,small,10000
0.5642143735336002,small,20000
0.5720196145222469,small,30000
0.5773834655519946,small,40000
0.5800127159491517,small,50000
0.5830707625457898,small,60000
0.5849325807845142,small,70000
0.586763176413494,small,80000
0.5880536718599931,small,90000
0.58910873589412,small,100000
0.5907436737546937,small,110000
0.5911917246702255,small,120000
0.5920516651829374,small,130000
0.5929898110237812,small,140000
0.5937407479704565,small,150000
0.5942084500824879,small,160000
0.5949122740538388,small,170000
0.5952718919425769,small,180000
0.5956614346131843,small,190000
0.5962252674897021,small,200000
0.5969664392543003,small,210000
0.540852573439091,medium,9000
0.5956618481783112,medium,21000
0.6096958694789497,medium,30000
0.6171996154778845,medium,39000
0.6251911084560895,medium,51000
0.6300586968366076,medium,60000
0.6333075688891576,medium,69000
0.636992610014262,medium,81000
0.64021934407943,medium,90000
0.6427084196657192,medium,99000
0.6449607056800358,medium,111000
0.6465812925590181,medium,120000
0.6477218364145784,medium,129000
0.6479304680822154,medium,141000
0.6505478121039701,medium,150000
0.6522125523019532,medium,159000
0.6541336212564398,medium,171000
0.6554279004630557,medium,180000
0.6567151916911258,medium,189000
0.6575453731539099,medium,201000
0.659028554101773,medium,210000
0.5565052131319362,half_large,10000
0.6087212642955263,half_large,20000
0.6290644353225171,half_large,30000
0.6408134060431779,half_large,40000
0.6494657671919797,half_large,50000
0.655816233584375,half_large,60000
0.6628049215547783,half_large,70000
0.6678994822858765,half_large,80000
