acc,model,step
0.5609701196632499,base,10000
0.6091385394390364,base,20000
0.6275518996699283,base,30000
0.6398969862027868,base,40000
0.6478683958743316,base,50000
0.6507435297139738,base,60000
0.6581589499347991,base,70000
0.6619130931336358,base,80000
0.6642830271066015,base,90000
0.669152746062466,base,100000
0.6708095680184227,base,110000
0.6731917227847208,base,120000
0.6771562602247251,base,130000
0.6777711229006333,base,140000
0.6799218657188671,base,150000
0.6814688202945061,base,160000
0.6827056976569272,base,170000
0.6847216150600248,base,180000
0.6845858424451677,base,190000
0.6887051507810157,base,220000
