acc,model,step
0.540852573439091,medium,9000
0.5956618481783112,medium,21000
0.6096958694789497,medium,30000
0.6171996154778845,medium,39000
0.6251911084560895,medium,51000
0.6300586968366076,medium,60000
0.6333075688891576,medium,69000
0.636992610014262,medium,81000
0.64021934407943,medium,90000
0.6427084196657192,medium,99000
0.6449607056800358,medium,111000
0.6465812925590181,medium,120000
0.6477218364145784,medium,129000
0.6479304680822154,medium,141000
0.6505478121039701,medium,150000
0.6522125523019532,medium,159000
0.6541336212564398,medium,171000
0.6554279004630557,medium,180000
0.6567151916911258,medium,189000
0.6575453731539099,medium,201000
0.659028554101773,medium,210000
